"HAUL_NUMBER";"GENUS";"SPECIES";"WEIGHT_OF_THE_SAMPLE_MEASURED";"ESTIMATED_WEIGHT";"perc_diff"
117;"ELED";"MOS";125;164.964177595451;-24.2259732858225
98;"MICM";"POU";125;116.901576862592;6.92755680013369
146;"SPIC";"SMA";125;120.535256339393;3.70409770236507
147;"MULL";"BAR";130;146.210476264125;-11.0870825937544
84;"PHYI";"BLE";130;126.778686102392;2.54089547434325
84;"TRIS";"CAP";130;111.386507823121;16.7107242525605
105;"ILLE";"COI";130;126.499882342624;2.76689400223791
138;"PAPE";"LON";130;99.569759805141;30.5617290374219
116;"ETMO";"SPI";130;97.9785052936722;32.6821628992496
112;"OCTO";"VUL";130;76.5936222733804;69.7269252210059
123;"OCTO";"VUL";130;78.915421808445;64.7333271759669
143;"ARIT";"ANT";135;123.366004143467;9.43047149602382
123;"MULL";"BAR";135;140.268648978238;-3.75611301357567
145;"LEPM";"BOS";135;123.770630635471;9.07272533627239
138;"TRIS";"CAP";135;127.370609976274;5.98991401952732
129;"ELED";"MOS";135;164.964177595451;-18.1640511486883
77;"LEPM";"BOS";140;111.012972183865;26.1113879269225
137;"LEPM";"BOS";140;107.065408677799;30.7611876972459
143;"LEPM";"BOS";140;139.556671727024;0.317668992453161
104;"TRIS";"CAP";140;108.581374365837;28.9355571502592
93;"HELI";"DAC";140;149.110335754655;-6.10979494382255
152;"ARIS";"FOL";140;143.47858260367;-2.42446122657856
158;"TRIP";"LAS";140;118.272801978218;18.3704094756994
80;"ILLE";"COI";145;141.094360874173;2.76810433927233
85;"ARIS";"FOL";145;142.0321330659;2.08957428860324
139;"MULL";"SUR";145;165.917170479503;-12.6069956587687
146;"PHYI";"BLE";150;134.576557567134;11.4607199884512
161;"LEPM";"BOS";150;144.932902563442;3.49616777621643
110;"TRIS";"CAP";150;141.724007607216;5.839513384155
132;"TRIS";"CAP";150;159.654854791671;-6.04732928683529
146;"TRIS";"CAP";150;157.208236626131;-4.58515201291479
135;"PAGE";"ERY";150;177.532486377953;-15.5084215512753
88;"TRIS";"CAP";155;145.106416638401;6.81815704005252
100;"ILLE";"COI";155;170.784169996001;-9.2421739066157
161;"MULL";"SUR";155;157.743199783777;-1.73902886941362
101;"LOLI";"VUL";155;192.901905848789;-19.6482796175687
98;"LOPH";"BUD";160;169.039647792051;-5.34764944799913
162;"ASPI";"CUC";160;144.886972286125;10.4309086423793
126;"TRAC";"TRA";160;110.419315950273;44.9021836650888
161;"PAGE";"BOG";165;182.100533682769;-9.39071036033267
147;"TRIS";"CAP";165;139.139858541493;18.5857178019157
134;"ELED";"MOS";165;191.140683170328;-13.6761482363404
117;"LOLI";"VUL";165;151.642374402664;8.80863653708459
84;"TRAC";"TRA";170;178.555322988795;-4.7914130173156
84;"MULL";"BAR";175;179.278622810144;-2.38657724109959
100;"BOOP";"BOO";175;147.542788821925;18.6096598805748
86;"NEPR";"NOR";175;170.683035250105;2.52922895563079
105;"TRAC";"TRA";175;174.858938919714;0.0806713578142896
104;"LOLI";"VUL";175;227.970259722811;-23.235600901283
145;"LOPH";"BUD";180;189.778599253124;-5.15263538228666
112;"SPIC";"FLE";180;184.059768295797;-2.20567934719595
83;"OCTO";"VUL";180;180.174343437018;-0.0967637421023799
137;"SPIC";"SMA";185;137.939550848111;34.1167191443941
157;"TRAC";"TRA";185;215.496420655361;-14.1517063543869
139;"PAGE";"BOG";190;212.667347013015;-10.658593023981
83;"TRIS";"CAP";190;153.907310590122;23.4509259316457
126;"ELED";"MOS";190;141.211754995712;34.5497051614221
95;"TRAC";"TRA";190;199.036098435474;-4.53992944320268
107;"TRAC";"TRA";190;213.61294284202;-11.0540787125821
123;"RAJA";"AST";200;151.280836298398;32.2044515972295
135;"MULL";"BAR";200;224.160895549705;-10.7783721556144
158;"TRIS";"CAP";200;181.999397700297;9.89047355494301
148;"ELED";"CIR";200;168.354622329605;18.7968570345755
104;"ELED";"MOS";200;164.964177595451;21.238442742684
143;"PAPE";"LON";205;191.19221485447;7.2219390083638
160;"LOLI";"VUL";205;214.52072125819;-4.43813595365052
110;"TRAC";"TRA";210;206.646469965224;1.62283441635405
156;"MYLI";"AQU";215;NA;NA
161;"MULL";"BAR";215;221.442579494481;-2.90936797665039
137;"TRAC";"MED";215;226.017663252879;-4.87469124948515
76;"PAGE";"ACA";220;273.919340785412;-19.6843861520726
84;"PAPE";"LON";220;188.326697662325;16.8182752264184
83;"SPIC";"SMA";220;221.197074280138;-0.541179978999919
84;"ASPI";"CUC";225;202.552434924794;11.0823476812513
129;"TRIS";"CAP";230;241.324443150152;-4.69262168486837
134;"ILLE";"COI";230;260.015054569959;-11.5435833588947
86;"HELI";"DAC";230;237.522605688537;-3.16711146997157
145;"HELI";"DAC";230;210.46916318837;9.27966668169361
77;"NEPR";"NOR";230;211.13966800655;8.93263315771858
158;"TRAC";"TRA";230;244.045061582363;-5.75510993391821
78;"PAGE";"BOG";240;256.225688411234;-6.33257676536785
157;"LEPM";"BOS";240;228.24528103549;5.1500381130256
137;"LOPH";"BUD";240;138.484013514386;73.3052024630033
112;"MERL";"MER";245;222.323661829838;10.1996962372445
117;"TRAC";"TRA";245;246.031164599339;-0.419119505050578
95;"MULL";"BAR";250;264.266972917744;-5.39869691631304
121;"BOOP";"BOO";250;216.726282387154;15.3528761008354
160;"TRIS";"CAP";250;243.213372396928;2.79040068240809
160;"ILLE";"COI";250;213.005472862241;17.3678763463908
158;"SPIC";"SMA";250;227.97095922545;9.66309079428168
151;"ETMO";"SPI";250;127.85584671358;95.5327084572395
144;"LEPM";"BOS";255;248.572372248089;2.58581743971759
162;"LEPM";"BOS";255;195.376495860354;30.5172348787859
148;"LOPH";"BUD";255;236.077007464928;8.01560166247144
142;"LEPM";"BOS";260;259.893526664841;0.0409680596993492
88;"SPIC";"SMA";260;243.189982106706;6.9122986677628
