TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;LENGTH_CLASSES_CODE;WEIGHT_OF_THE_FRACTION;WEIGHT_OF_THE_SAMPLE_MEASURED;SEX;NO_OF_INDIVIDUAL_OF_THE_ABOVE_SEX_MEASURED;LENGTH_CLASS;MATURITY;MATSUB;NUMBER_OF_INDIVIDUALS_IN_THE_LENGTH_CLASS_AND_MATURITY_STAGE
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;I;33;75;0;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;N;8;80;ND;ND;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;N;8;85;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;N;8;90;ND;ND;3
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;F;3;105;2;A;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;M;2;105;3;B;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;F;3;115;2;A;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;M;2;115;3;B;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;ILLE;COI;0;630;630;F;3;120;2;B;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;I;6;30;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;I;6;40;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;I;6;60;0;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;I;6;65;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;I;6;80;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;F;2;90;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;C;LOLI;VUL;0;150;150;F;2;110;1;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;B;PAPE;LON;m;20;20;M;1;18;2;D;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;B;PAPE;LON;m;20;20;F;2;21;2;D;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;B;PAPE;LON;m;20;20;F;2;26;2;E;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;100;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;105;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;110;0;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;115;0;;1
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;120;0;;5
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;125;0;;5
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;130;0;;7
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;I;30;135;0;;8
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;F;15;140;1;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;M;11;140;1;;2
TC;ITA;18;MIZ;2021;8;16;160;S;S;Ao;MERL;MER;0;2355;2355;N;4;140;ND;ND;1
