TYPE_OF_FILE;COUNTRY;AREA;VESSEL;YEAR;MONTH;DAY;HAUL_NUMBER;CODEND_CLOSING;PART_OF_THE_CODEND;FAUNISTIC_CATEGORY;GENUS;SPECIES;NAME_OF_THE_REFERENCE_LIST;TOTAL_WEIGHT_IN_THE_HAUL;TOTAL_NUMBER_IN_THE_HAUL;NB_OF_FEMALES;NB_OF_MALES;NB_OF_UNDETERMINED
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;SARD;PIL;FM;600;45;0;0;45
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;SPIC;SMA;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;138;S;S;C;TODI;EBL;FM;330;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;TRAC;MED;FM;15;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;TRAC;TRA;FM;290;34;0;0;34
TB;ITA;18;MIZ;2021;8;17;138;S;S;Ao;TRIS;CAP;FM;210;23;0;0;23
TB;ITA;18;MIZ;2021;8;17;107;S;S;C;ALLO;SPP;FM;190;73;0;0;73
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;ARNO;THO;FM;15;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;ASPI;CUC;FM;130;13;0;0;13
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;BLEN;OCE;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;BOOP;BOO;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;CEPO;MAC;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;B;CHLO;GRA;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;ENGR;ENC;FM;460;41;0;0;41
TB;ITA;18;MIZ;2021;8;17;107;S;S;C;ILLE;COI;FM;1900;130;5;3;122
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;LEPT;CAV;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;LEPT;DIE;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;C;LOLI;VUL;FM;100;2;1;1;0
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;LOPH;BUD;FM;210;1;1;0;0
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ecn;LYTO;MYR;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;MACO;SCO;FM;15;11;0;0;11
TB;ITA;18;MIZ;2021;8;17;107;S;S;Eec;MART;GLA;FM;540;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;B;MCPI;TUB;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;MERL;MER;FM;930;28;6;7;15
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;MULL;BAR;FM;840;21;4;17;0
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;MULL;SUR;FM;415;5;0;5;0
TB;ITA;18;MIZ;2021;8;17;107;S;S;Emb;NEOP;COC;FM;1500;0;0;0;0
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;PHYI;BLE;FM;30;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Dmb;PINN;NOB;FM;120;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;107;S;S;H;POSI;EGA;FM;30;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Emb;PTER;HIR;FM;70;7;0;0;7
TB;ITA;18;MIZ;2021;8;17;107;S;S;G;RAJA;EGG;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;SARD;PIL;FM;1200;61;0;0;61
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;SCOR;NOT;FM;20;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;SERA;HEP;FM;35;4;0;0;4
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;SPIC;FLE;FM;220;10;0;0;10
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;SPIC;SMA;FM;55;4;0;0;4
TB;ITA;18;MIZ;2021;8;17;107;S;S;C;TODI;EBL;FM;280;4;0;0;4
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;TRAC;TRA;FM;360;36;0;0;36
TB;ITA;18;MIZ;2021;8;17;107;S;S;Ao;TRIS;CAP;FM;260;26;0;0;26
TB;ITA;18;MIZ;2021;8;17;80;S;S;C;ABRA;VER;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;80;S;S;C;ALLO;SUB;FM;360;126;0;0;126
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;BOOP;BOO;FM;170;9;0;0;9
TB;ITA;18;MIZ;2021;8;17;80;S;S;V;CODI;BUR;FM;350;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;ENGR;ENC;FM;990;329;0;0;329
TB;ITA;18;MIZ;2021;8;17;80;S;S;C;ILLE;COI;FM;235;21;1;0;20
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;LEPT;CAV;FM;5;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;80;S;S;C;LOLI;VUL;FM;1840;218;0;0;218
TB;ITA;18;MIZ;2021;8;17;80;S;S;B;MCPI;DEP;FM;90;8;0;0;8
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;MERL;MER;FM;305;8;4;0;4
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;MULL;BAR;FM;1730;269;6;33;230
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ae;MUST;MUS;FM;3760;1;1;0;0
TB;ITA;18;MIZ;2021;8;17;80;S;S;Emb;NEOP;COC;FM;220;0;0;0;0
TB;ITA;18;MIZ;2021;8;17;80;S;S;C;OCTO;VUL;FM;925;9;2;7;0
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;PAGE;ERY;FM;150;4;3;0;1
TB;ITA;18;MIZ;2021;8;17;80;S;S;Dmb;PINN;NOB;FM;150;2;0;0;2
TB;ITA;18;MIZ;2021;8;17;80;S;S;Emb;PTER;HIR;FM;200;18;0;0;18
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;SARD;PIL;FM;1900;205;0;0;205
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;SCOM;PNE;FM;50;3;0;0;3
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;SPIC;FLE;FM;290;30;0;0;30
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;SPRA;SPR;FM;40;13;0;0;13
TB;ITA;18;MIZ;2021;8;17;80;S;S;Ao;TRAC;MED;FM;200;42;0;0;42
TB;ITA;18;MIZ;2021;8;17;105;S;S;C;ALLO;SUB;FM;90;36;0;0;36
TB;ITA;18;MIZ;2021;8;17;105;S;S;B;DARD;ARR;FM;15;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;ENGR;ENC;FM;31000;6460;0;0;6460
TB;ITA;18;MIZ;2021;8;17;105;S;S;C;ILLE;COI;FM;320;37;0;0;37
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;LEPT;DIE;FM;10;1;0;0;1
TB;ITA;18;MIZ;2021;8;17;105;S;S;C;LOLI;VUL;FM;145;5;1;0;4
TB;ITA;18;MIZ;2021;8;17;105;S;S;B;MCPI;DEP;FM;380;38;0;0;38
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;MERL;MER;FM;1110;30;10;0;20
TB;ITA;18;MIZ;2021;8;17;105;S;S;Ao;MULL;BAR;FM;85;3;0;2;1
TB;ITA;18;MIZ;2021;8;17;105;S;S;C;OCTO;VUL;FM;3200;5;2;3;0
TB;ITA;18;MIZ;2021;8;17;105;S;S;B;PAPE;LON;FM;75;7;7;0;0
TB;ITA;18;MIZ;2021;8;17;105;S;S;Dmb;PINN;NOB;FM;100;2;0;0;2
