AREA;SPECIES;SEX;a;b
18;MERL MER;F;0.0041;3.1558
18;MERL MER;I;0.0042;3.1457
18;MERL MER;M;0.0041;3.1581
18;MERL MER;N;0.0042;3.1457
18;MICM POU;F;0.0042;3.1319
18;MICM POU;I;0.0043;3.1227
18;MICM POU;M;0.0040;3.1418
18;MICM POU;N;0.0043;3.1227
18;MULL BAR;F;0.0077;3.1384
18;MULL BAR;I;0.0083;3.1062
18;MULL BAR;M;0.0061;3.2261
18;MULL BAR;N;0.0083;3.1062
18;MULL SUR;F;0.0097;3.0819
18;MULL SUR;I;0.0117;3.0005
18;MULL SUR;M;0.0147;2.9126
18;MULL SUR;N;0.0117;3.0005
18;MUST MUS;F;0.0041;2.9434
18;MUST MUS;I;0.0041;2.9434
18;MUST MUS;M;0.0041;2.9434
18;MUST MUS;N;0.0041;2.9434
18;NEPR NOR;F;0.0006;3.0576
18;NEPR NOR;I;0.0004;3.1300
18;NEPR NOR;M;0.0004;3.1323
18;NEPR NOR;N;0.0004;3.1300
18;OCTO VUL;F;0.4019;2.8901
18;OCTO VUL;I;0.3281;2.9903
18;OCTO VUL;M;0.2704;3.0811
18;OCTO VUL;N;0.3281;2.9903
18;PAGE ACA;F;0.0085;3.1563
18;PAGE ACA;I;0.0085;3.1563
18;PAGE ACA;M;0.0085;3.1563
18;PAGE ACA;N;0.0085;3.1563
18;PAGE BOG;F;0.0118;3.0478
18;PAGE BOG;I;0.0118;3.0478
18;PAGE BOG;M;0.0118;3.0478
18;PAGE BOG;N;0.0118;3.0478
18;PAGE ERY;F;0.0178;2.8929
18;PAGE ERY;I;0.0181;2.8867
18;PAGE ERY;M;0.0187;2.8728
18;PAGE ERY;N;0.0181;2.8867
18;PAPE LON;F;0.0042;2.3808
18;PAPE LON;I;0.0038;2.4044
18;PAPE LON;M;0.0056;2.2701
18;PAPE LON;N;0.0038;2.4044
18;PENA KER;F;0.0050;2.3716
18;PENA KER;I;0.0038;2.5000
