"Survey";"Year";"Haul";"Species";"Sex";"Maturity";"Length";"Number";"Weight";"Age"
"MEDITS-GSA18";1994;133;"MERLMER";"i";"i";12;44;NA;NA
"MEDITS-GSA18";1994;135;"MERLMER";"i";"i";12;45;NA;NA
"MEDITS-GSA18";1994;136;"MERLMER";"i";"i";12;13;NA;NA
"MEDITS-GSA18";1994;138;"MERLMER";"i";"i";12;22;NA;NA
"MEDITS-GSA18";1994;139;"MERLMER";"i";"i";12;12;NA;NA
"MEDITS-GSA18";1994;141;"MERLMER";"i";"i";12;5;NA;NA
"MEDITS-GSA18";1994;142;"MERLMER";"i";"i";12;70;NA;NA
"MEDITS-GSA18";1994;95;"MERLMER";"i";"i";12;13;NA;NA
"MEDITS-GSA18";1994;92;"MICMPOU";"i";"i";12;62;NA;NA
"MEDITS-GSA18";1994;134;"PHYIBLE";"i";"i";12;35;NA;NA
"MEDITS-GSA18";1994;83;"PHYIBLE";"i";"i";12;22;NA;NA
"MEDITS-GSA18";1994;85;"PHYIBLE";"i";"i";12;2;NA;NA
"MEDITS-GSA18";1994;89;"PHYIBLE";"i";"i";12;22;NA;NA
"MEDITS-GSA18";1994;92;"PHYIBLE";"i";"i";12;1;NA;NA
"MEDITS-GSA18";1994;94;"PHYIBLE";"i";"i";12;19;NA;NA
"MEDITS-GSA18";1994;102;"TRACTRA";"i";"i";12;14;NA;NA
"MEDITS-GSA18";1994;106;"TRACTRA";"i";"i";12;9;NA;NA
"MEDITS-GSA18";1994;109;"TRACTRA";"i";"i";12;63;NA;NA
"MEDITS-GSA18";1994;110;"TRACTRA";"i";"i";12;50;NA;NA
"MEDITS-GSA18";1994;113;"TRACTRA";"i";"i";12;8;NA;NA
"MEDITS-GSA18";1994;114;"TRACTRA";"i";"i";12;64;NA;NA
"MEDITS-GSA18";1994;115;"TRACTRA";"i";"i";12;63;NA;NA
"MEDITS-GSA18";1994;117;"TRACTRA";"i";"i";12;32;NA;NA
"MEDITS-GSA18";1994;119;"TRACTRA";"i";"i";12;31;NA;NA
"MEDITS-GSA18";1994;120;"TRACTRA";"i";"i";12;40;NA;NA
"MEDITS-GSA18";1994;121;"TRACTRA";"i";"i";12;17;NA;NA
"MEDITS-GSA18";1994;122;"TRACTRA";"i";"i";12;1;NA;NA
"MEDITS-GSA18";1994;123;"TRACTRA";"i";"i";12;35;NA;NA
"MEDITS-GSA18";1994;124;"TRACTRA";"i";"i";12;33;NA;NA
"MEDITS-GSA18";1994;125;"TRACTRA";"i";"i";12;56;NA;NA
"MEDITS-GSA18";1994;126;"TRACTRA";"i";"i";12;7;NA;NA
"MEDITS-GSA18";1994;127;"TRACTRA";"i";"i";12;4;NA;NA
"MEDITS-GSA18";1994;130;"TRACTRA";"i";"i";12;66;NA;NA
"MEDITS-GSA18";1994;133;"TRACTRA";"i";"i";12;39;NA;NA
"MEDITS-GSA18";1994;134;"TRACTRA";"i";"i";12;15;NA;NA
"MEDITS-GSA18";1994;136;"TRACTRA";"i";"i";12;30;NA;NA
"MEDITS-GSA18";1994;80;"TRACTRA";"i";"i";12;53;NA;NA
"MEDITS-GSA18";1994;89;"TRACTRA";"i";"i";12;42;NA;NA
"MEDITS-GSA18";1994;95;"TRACTRA";"i";"i";12;23;NA;NA
"MEDITS-GSA18";1994;107;"TRISCAP";"i";"i";12;63;NA;NA
"MEDITS-GSA18";1994;110;"TRISCAP";"i";"i";12;40;NA;NA
"MEDITS-GSA18";1994;124;"TRISCAP";"i";"i";12;22;NA;NA
"MEDITS-GSA18";1994;132;"TRISCAP";"i";"i";12;50;NA;NA
"MEDITS-GSA18";1994;133;"TRISCAP";"i";"i";12;16;NA;NA
"MEDITS-GSA18";1994;134;"TRISCAP";"i";"i";12;5;NA;NA
"MEDITS-GSA18";1994;136;"TRISCAP";"i";"i";12;27;NA;NA
"MEDITS-GSA18";1994;83;"TRISCAP";"i";"i";12;17;NA;NA
"MEDITS-GSA18";1994;89;"TRISCAP";"i";"i";12;5;NA;NA
"MEDITS-GSA18";1994;142;"ILLECOI";"m";"i";12;45;NA;NA
"MEDITS-GSA18";1994;142;"LEPMBOS";"m";"i";12;35;NA;NA
"MEDITS-GSA18";1994;82;"LEPMBOS";"m";"i";12;54;NA;NA
"MEDITS-GSA18";1994;110;"LOPHBUD";"m";"i";12;1;NA;NA
"MEDITS-GSA18";1994;107;"MERLMER";"m";"i";12;28;NA;NA
"MEDITS-GSA18";1994;124;"MERLMER";"m";"i";12;22;NA;NA
"MEDITS-GSA18";1994;84;"MERLMER";"m";"i";12;22;NA;NA
"MEDITS-GSA18";1994;115;"MULLBAR";"m";"i";12;54;NA;NA
"MEDITS-GSA18";1994;137;"MULLBAR";"m";"i";12;22;NA;NA
"MEDITS-GSA18";1994;115;"TRACTRA";"m";"i";12;1;NA;NA
"MEDITS-GSA18";1994;80;"TRACTRA";"m";"i";12;20;NA;NA
"MEDITS-GSA18";1994;132;"TRISCAP";"m";"i";12;22;NA;NA
