N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
467;EPIZARE;Epizoanthus arenaceus;Delle Chiaje, 1823;R;p. 161 Tav. 58;;Ecn;0;18;2011 (18)
468;EPIZPAG;Epizoanthus paguricola;Roule, 1900;;;?;Ecn;;6;2013 (6)
469;EPIZSPP;Epizoanthus spp.;Gray, 1867;R;p. 160 Tav. 58;;Ecn;0;1, 6, 19;2011 (19)
470;ERETKLE;Eretmophorus kleinenbergi;Giglioli, 1889;C;103.01.01;;Ao;0;6;
471;ERGACLO;Ergasticus clouei;A. Milne-Edwards, 1882;Z;463;;B;m;1, 2, 6, 20, 22;
472;ERIPVER;Eriphia verrucosa;(Forsskål, 1775);;;;B;;15, 16, 19, 22, 25;2013 (16)
473;ERUGMAS;Erugosquilla massavensis;(Kossmann, 1880);;;;B;;25;2014 (25)
474;ERYLPAP;Erylus papulifer;Pulitzer-Finali, 1983;;;;Esp;;19;2014 (19)
475;ETEOSIP;Eteone siphodonta;(Delle Chiaje, 1830);;;;Epo;;10;2014 (10)
476;ETHUMAS;Ethusa mascarone;(Herbst, 1785);Z;309;;B;m;1, 5, 6, 9, 17, 19, 20, 22;
477;ETMOSPI;Etmopterus spinax;(Linnaeus, 1758);C;16.06.01;;Ae;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
478;EUCHLIG;Euchirograpsus liguricus;H. Milne-Edwards, 1853;Z;429;;B;m;1;
479;EUDESPP;Eudendrium spp.;Ehrenberg, 1834 ;;;;Ecn;;16;2013 (16)
480;EUDIBAN;Eudistoma banyulense;(Brément, 1912) ;;;?;Etu;;5;2013 (5)
481;EUDIMUC;Eudistoma mucosum;(Drasche, 1883) ;;;;Etu;;5;2013 (5)
482;EUDISPP;Eudistoma spp.;Caullery, 1909 ;;;;Etu;;5;2013 (5)
483;EUDITRI;Eudistoma tridentatum;(Heiden, 1894) ;;;?;Etu;;5;2013 (5)
484;EUNCTOR;Leodice torquata;(Quatrefages, 1866);;;e12;Epo;;5;2013 (5)
485;EUNICAV;Eunicella cavolini;(Koch, 1887);;;;Ecn;;16;2013 (16)
486;EUNIFIL;Eunicella filiformis;(Studer, 1879) ;;;?;Ecn;;1, 2;2014 (1, 2)
487;EUNISIN;Eunicella singularis;(Esper, 1791);;;;Ecn;;5;2014 (5)
488;EUNISPP;Eunicella spp.;Verrill, 1869;;;;Ecn;;1, 5, 6;2013 (1, 5, 6)
489;EUNIVER;Eunicella verrucosa;(Pallas, 1766);;;;Ecn;0;1, 6, 9;2011 (9)
490;EUPADAE;Euphausiidae;Dana, 1852;R;p. 428;b8;Beu;m;1, 6, 11, 17, 20;
491;EUPHKRO;Euphausia krohni;(Brandt, 1851);R;p. 429 Tav. 170;;Beu;m;19;2011 (19)
492;EUPHSPP;Euphausiidae;Dana, 1852;R;p. 428;b8;Beu;m;1, 6, 11, 17, 20;
493;EUPOPLA;Eupogodon planus;Kützing, 1845 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
494;EUPRFOL;Euphrosine foliosa;Audouin & Milne-Edwards, 1833 ;;;;Epo;;6;2013 (6)
495;EUPUCEA;Euphausiacea; Dana, 1852;;;;B;;1, 5, 6;2013 (1, 5, 6)
496;EURYASP;Eurynome aspera;(Pennant, 1777);Z;462;;B;m;1, 2, 5, 6, 20, 22;
497;EURYSPP;Eurynome spp.;Leach, 1814 ;;;;B;;6;2013 (6)
498;EUSPGRO;Euspira grossularia;(Marche-Marchad, 1957);;;;Emg;;1;2013 (1)
499;EUSPMAC;Euspira macilenta;(Philippi, 1844);;;;Emg;;19;2014 (19)
500;EUSPSPP;Euspira spp.;Agassiz, 1837;;;e20;Emg;;5;2013 (5)
501;EUTRGUR;Eutrigla gurnardus;(Linnaeus, 1758);C;185.03.01;;Ao;0;5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 25;
502;EVERBAL;Evermannella balbo;(Risso, 1820);C;60.01.01;;Ao;0;1, 5, 6, 9, 11, 16, 19, 22;
503;FACCOXY;Facciolella oxyrhyncha;(Bellotti, 1883) ;C;80.02.01;;Ao;0;5, 15, 16, 25;2013 (5)
504;FILISPP;Filicrisia spp.;d'Orbigny, 1853;;;;Ebr;;18;2014 (18)
505;FILOIMP;Filograna implexa;Berkeley, 1835;;;;Epo;;1, 2, 5, 6;2013 (1, 2, 5, 6)
506;FISSDAE;Fissurellidae;Fleming, 1822;;;;Emg;;5, 6;2013 (5, 6)
507;FISTCOM;Fistularia commersonii;Rüppell, 1838;;;AL;Ao;0;25;2014 (25)
508;FLABPET;Flabellia petiolata ;Nizamuddin, 1987;;;;V;;5;2013 (5)
509;FLEXFLE;Flexopecten flexuosus;(Poli, 1795);F;PETC Flex;;Dmb;0; 5, 6, 15;
510;FLEXGLA;Flexopecten glaber glaber;(Linnaeus, 1758);F;PETC Flex 1;;Dmb;0;19;2011 (19)
511;FLEXPRO;Flexopecten glaber proteus;(Dillwyn, 1817);;;;Emb;;16;2013 (16)
512;FMBONEL;Bonelliidae;Lacaze-Duthiers, 1858;;;;Ech;;1, 2, 5, 6;2013 (1, 2, 5, 6)
513;FRONVER;Frondipora verrucosa;(Lamouroux, 1821);R;p. 531 Tav. 210;;Ebr;0;18;2011 (18)
514;FUNCWOO;Funchalia woodwardi;Johnson, 1868;F;PEN;;B;m;5, 6, 9, 10;
515;FUNIQUA;Funiculina quadrangularis;(Pallas, 1766);R;p. 174 Tav. 64;;Ecn;0;1, 2, 5, 6, 7, 8, 9, 10, 15, 18;2011 (9, 10, 18)
516;FUSIROS;Fusinus rostratus;(Olivi, 1792);F;FASC Fus 1;e13;Emg;0;1, 6, 9, 17, 18, 19;
517;FUSISPP;Fusinus spp.;Rafinesque, 1815 ;;;;Emg;;5, 16;2013 (16)
518;FUSISYR;Fusinus syracusanus;(Linnaeus, 1758);R;p. 264 Tav. 102;;Emg;0;10, 18;2011 (10, 18)
519;FUSTUND;Fusiturris undatiruga;(Bivona, 1838);;;;Emg;0;1, 6;
520;GADAMAR;Gadella maraldi;(Risso, 1810);C;103.03.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22;
521;GADIARG;Gadiculus argenteus;Guichenot, 1850;C;101.05.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
522;GADUMER;Merlangius merlangus;(Linnaeus, 1758);C;101.07.01;a23;Ao;0;17, 18, 20, 22;
523;GAIDMED;Gaidropsarus mediterraneus;(Linnaeus, 1758);C;101.20.01;;Ao;0;7, 8, 9, 10, 11, 15, 16, 17, 20, 22, 23, 25;
524;GAIDSPP;Gaidropsarus spp.;Rafinesque, 1810;C;101.19;a2;Ao;0;1, 6, 7, 8, 15, 16, 17, 18, 20, 22, 23;2013 (7, 8)
525;GAIDVUL;Gaidropsarus vulgaris;(Cloquet, 1824);C;101.20.04;;Ao;0;7, 8, 11, 16, 22;
526;GALADIS;Galathea dispersa;Bate, 1859;Z;278;;B;m;1, 2, 6, 8, 11, 22;
527;GALAINT;Galathea intermedia;Liljeborg, 1851;Z;279;;B;m;1, 2, 6, 9, 11, 19;
528;GALANEX;Galathea nexa;Embleton, 1834;Z;277;;B;m;1, 6;
529;GALASPP;Galathea spp.;Fabricius, 1793;;;;B;;1, 5, 6, 16;2013 (1, 5, 6)
530;GALASTR;Galathea strigosa;(Linnaeus, 1761);;;;B;;5, 16, 25;2013 (16)
531;GALEGAL;Galeorhinus galeus;(Linnaeus, 1758);C;13.03.01;;Ae;0;1, 8, 10, 16, 20, 22, 23;
532;GALTARM;Galiteuthis armata;Joubin, 1898;;;;C;;19;2014 (19)
533;GALUATL;Galeus atlanticus;(Vaillant, 1888);F;SCYL Gal 11;?;Ae;0;1, 2, 15;
534;GALUMEL;Galeus melastomus;Rafinesque, 1810;C;11.03.01;;Ae;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
535;GASRODA;Gastropoda;Cuvier, 1795;;;;Emg;;1, 2, 5, 6;2013 (1, 2, 5, 6)
536;GASTRUB;Gastropteron rubrum; (Rafinesque, 1814);;;;Emo;;1, 2, 5, 6, 16;2013 (1, 2, 5, 6, 16)
537;GELISPP;Gelidium spp.;Lamouroux, 1813;;;;V;;1, 6;2013 (1, 6)
538;GENNELE;Gennadas elegans;(Smith, 1882);F;ARIST;;B;m;1, 2, 5, 6, 9, 11, 15, 19, 20, 22;
539;GENOMAC;Genocidaris maculata;Agassiz, 1869;R;p. 558 Tav. 221;;Eec;0;19;2011 (19)
540;GEODCYD;Geodia cydonium;(Jameson, 1811);;;;Esp;;16;2013 (16)
541;GEODSPP;Geodia spp.;Lamarck, 1815;;;;Esp;;18;2014 (18)
542;GERYLON;Geryon longipes;A. Milne-Edwards, 1882;F;GER Ger 2;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
543;GIBBMAG;Gibbula magus;(Linnaeus, 1758);;;;Emg;;16;2013 (16)
544;GIBBSPP;Gibbula spp.;Risso, 1826;R;p. 234;;Dmg;0;5, 6, 9;
545;GLOIFUR;Gloiocladia furcata;J. Agardh, 1842;;;;V;;5;2013 (5)
546;GLOIMIC;Gloiocladia microspora;Sánchez & Rodríguez-Prieto et al., 2009;;;?;V;;5;2013 (5)
547;GLOIREP;Gloiocladia repens;Sánchez & Rodríguez-Prieto, 2007 ;;;;V;;5;2013 (5)
548;GLOSLEI;Glossanodon leioglossus;(Valenciennes, 1848);C;46.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 18, 19;
549;GLOSVAL;Felimare picta;(Philippi, 1936);R;p. 304 Tav. 116;e14;Emo;0;1;
550;GLOUHUM;Glossus humanus;(Linnaeus, 1758);F;GLOSS Gloss 1;;Emb;0;6, 7, 9, 17, 18;
551;GLYCGLY;Glycymeris glycymeris;(Linnaeus, 1758);;;;Emb;;5, 16;2013 (5)
552;GLYCSPP;Glycimeris spp.;Da Costa, 1778;;;;Dmb;;16;2013 (16)
553;GNATMYS;Gnathophis mystax;(Delaroche, 1809);C;82.03.01;;Ao;0;1, 5, 6, 7, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
554;GOBICOB;Gobius cobitis;Pallas, 1814;;;;Ao;0;16;2014 (16)
555;GOBICOL;Deltentosteus collonianus;(Risso, 1820);C;162.10.02;a24;Ao;0;5, 9, 11, 15, 22, 25;
556;GOBICRU;Gobius cruentatus;Gmelin, 1789;;;;Ao;0;11, 16, 25;2014 (11, 25)
557;GOBIFAL;Gobius fallax;Sarato, 1889;C;162.01.07;;Ao;0;1, 6;2013 (1, 6)
558;GOBIFRI;Lesueurigobius friesii;(Malm, 1874);C;162.16.02;a25;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 15, 17, 16, 18, 19, 20, 22, 23, 25;
559;GOBIGEN;Gobius geniporus;Valenciennes, 1837;C;162.01.08;;Ao;0;1, 5, 6, 9, 16, 19;
560;GOBILIN;Crystallogobius linearis;(Düben, 1845);C;162.09.01;a26;Ao;0;1, 5, 6, 9;
561;GOBINIG;Gobius niger;Linnaeus, 1758;C;162.01.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 22, 23, 25;
562;GOBIPAG;Gobius paganellus;Linnaeus, 1758;;;;Ao;0;20, 22;2014 (20, 22)
563;GOBIQUA;Deltentosteus quadrimaculatus;(Valenciennes, 1837);C;162.10.01;a27;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
564;GOBISAN;Lesueurigobius sanzi;(De Buen, 1918);C;162.16.04;a28 ?;Ao;0;1, 5, 6, 7, 15, 16;
565;GOBISPP;Gobius spp.;Linnaeus, 1758;C;162;;Ao;0;1, 5, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
566;GOBISUE;Lesueurigobius suerii;(Risso, 1810);C;162.16.01;a29;Ao;0;1, 6, 7, 9, 10, 15, 16, 17, 18, 19, 22, 25;
567;GOBIVIT ;Gobius vittatus ;Vinciguerra, 1883;;;;Ao;0;17;2014 (17)
568;GONERHO;Goneplax rhomboides;(Linnaeus, 1758);Z;414;;B;m;1, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 25;
569;GONICOC;Gonichthys cocco;(Cocco, 1829);C;58.09.01;;Ao;0;1, 10, 16, 19, 22;
570;GONODEN;Gonostoma denudatum;Rafinesque, 1810;C;37.01.01;;Ao;0;6, 8, 9, 10, 16, 19, 22, 25;
571;GONOSPP;Gonostoma spp.;Rafinesque, 1810;C;37.1;;Ao;0;9;2011 (9)
572;GORGDAE;Gorgoniidae;Lamouroux, 1812;;;;Ecn;;1, 2, 6, 15;2013 (1, 2, 6)
573;GOUAWIL;Gouania willdenowi;(Risso, 1810);;;;Ao;0;22;2014 (22)
574;GRACCOR;Gracilaria corallicola;Zanardini, 1865 ;;;;V;;5;2013 (5)
575;GRACSPP;Gracilaria spp.;Greville, 1830;;;;V;;5;2013 (5)
576;GRALLON;Gracilariopsis longissima;Steentoft, Irvine & Farnham, 1995;;;;V;;2;2013 (2)
577;GRYPVIT;Gryphus vitreus;(Born, 1778);R;p. 539 Tav. 215;;Eba;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 18, 19;2011 (9, 10, 18, 19)
578;GYMACIC;Gymnammodytes cicerelus;(Rafinesque, 1810);C;147.02.01;;Ao;0;5, 11, 19, 22;
579;GYMNALT;Gymnura altavela;(Linnaeus, 1758);C;22.02.01;;Ae;0;19, 22;
580;HACEATT;Hacelia attenuata;Gray, 1840;;;;Eec;;2, 5, 6, 15, 16;2013 (2, 5, 6)
581;HADRCRA;Hadriania craticulata;Bucquoy, Dautzenberg & Dollfus, 1882;F;MUR;d21;Dmg;0;6, 7;
582;HALEHAL;Halecium halecinum;(Linnaeus, 1758);;;;Ecn;;16;2013 (16)
583;HALESPP;Halecium spp.;Oken, 1815;;;;Ecn;;16;2013 (16)
584;HALIANG;Haliclona angulata;(Bowerbank, 1866);;;;Esp;;18;2013 (18)
585;HALIFUL;Haliclona fulva;(Topsent, 1893);;;;Esp;;16;2013 (16)
586;HALISIM;Haliclona simulans;(Johnston, 1842) ;;;;Esp;;5;2013 (5)
587;HALISPP;Haliclona spp.;Grant, 1836 ;;;;Esp;;1, 2, 5, 6, 18;2013 (1, 2, 5, 6)
588;HALOPAP;Halocynthia papillosa;(Linnaeus, 1767);R;p. 597 Tav. 238;;Etu;0;5, 6, 9, 10, 18 ;2011 (9, 10, 18)
589;HALPFIL;Halopteris filicina;Kützing, 1843 ;;;;V;;5;2013 (5)
590;HALPSPP;Halopteris spp.;Allman, 1877;;;;Ecn;;18;2013 (18)
591;HALSINC;Halopithys incurva;Batters, 1902 ;;;;V;;5;2013 (5)
592;HALTLAM;Haliotis tuberculata lamellosa;Lamarck, 1822;;;?;Dmg;;5;2014 (5)
593;HALTTUB;Haliotis tuberculata tuberculata;Linnaeus, 1758;;;;Dmg;;1, 2, 5, 6;2013 (1, 2, 5, 6)
594;HALYFLO;Halymenia floresii;C. Agardh, 1817 ;;;;V;;18;2014 (18)
595;HALYSPP;Halymenia spp.;C. Agardh, 1817 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
596;HAMIHYD;Haminoea hydatis;(Linnaeus, 1758);;;;Emo;;16;2013 (16)
597;HAMINAV;Haminoea navicula;(Da Costa, 1778);R;p. 274 Tav. 106;;Emo;0;19;2011 (19)
598;HARMEXT;Harmothoe extenuata;(Grube, 1840);;;;Epo;;16;2013 (16)
599;HARMIMB;Harmothoe imbricata;(Linnaeus, 1767) ;;;;Epo;;19;2014 (19)
600;HAVEINE;Havelockia inermis ;(Heller, 1868);;;;Eec;;7;2013 (7)
601;HEBESCA;Hebella scandens;(Bale, 1888);;;;Ecn;;2;2013 (2)
602;HEDIDIV;Hediste diversicolor;(O.F. Müller, 1776);R;p. 375 Tav. 144;;Epo;0;9, 18;2011 (9, 18)
603;HELIDAC;Helicolenus dactylopterus;(Delaroche, 1809);C;184.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
604;HEPTPER;Heptranchias perlo;(Bonnaterre, 1788);C;3.02.01;;Ae;0;1, 2, 9, 11, 15, 16, 18, 19, 20, 22, 25;
605;HESISPL;Hesione splendida;Savigny, 1818;;;;Epo;;16;2013 (16)
606;HETAMIN;Paralepas minuta;(Philippi, 1836);;;b9;Bci;;16;2013 (16)
607;HETEDIS;Heteroteuthis dispar;(Rüppell, 1844);F;SEPIOL;;C;0;1, 5, 6, 9, 10, 11, 17, 18, 19, 20, 22, 23;
608;HEXAGRI;Hexanchus griseus;(Bonnaterre, 1788);C;3.01.01;;Ae;0;6, 7, 8, 9, 10, 11, 15, 16, 22;
609;HIATARC;Hiatella arctica;(Linnaeus, 1767);R;p. 342 Tav. 131;;Emb;0;5, 18;2011 (18)
610;HIATRUG;Hiatella rugosa;(Linnaeus, 1767);;;;Emb;;16;2013 (16)
611;HIATSPP;Hiatella spp.;Bosc, 1801;R;p. 342;;Emb;0;9;2011 (9)
612;HINIINC;Nassarius incrassatus;(Strøm, 1768);F;NASS Hin;d22;Dmg;0;6;
613;HINIRET;Nassarius reticulatus;(Linnaeus, 1758);F;NASS Hin 1;d23;Dmg;0;1, 6, 17;
614;HIPPGUT;Hippocampus guttulatus;Cuvier, 1829;C;97.04.02;;Ao;0;9, 11, 16, 19, 25;2011 (9)
615;HIPPHIC;Hippocampus hippocampus;(Linnaeus, 1758);C;97.04.01;;Ao;0;1, 6, 9, 16, 17, 18, 19, 20, 22, 25;
616;HIPPSPP;Hippocampus spp.;Rafinesque, 1810;;;;Ao;0;16;2014 (16)
617;HIRUNEA;Hirudinea;Lamarck, 1818;;;;Ehi;;5;2014 (5)
618;HISTBON;Histioteuthis bonnellii;(Férussac, 1835);F;HISTIO;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
619;HISTREV;Histioteuthis reversa;(Verrill, 1880);F;HISTIO;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22;
620;HISTSPP;Histioteuthis spp.;d'Orbigny, 1841;F;HISTIO;;C;0;1, 2, 5, 6, 7, 8, 15, 17, 19;
621;HOLOFOR;Holothuria forskali;Delle Chiaje, 1823;R;p. 548 Tav. 218;;Eec;0;1, 5, 6, 7, 10, 17, 18;2011 (10, 18)
622;HOLOHEL;Holothuria helleri;Marenzeller, 1877;R;p. 550 Tav. 218;;Eec;0;19;2011 (19)
623;HOLOMAM;Holothuria mammata;Grube, 1840;;;;Eec;;7, 8, 9, 18;2013 (7, 8)
624;HOLOPOL;Holothuria poli;Delle Chiaje, 1824;R;p. 550 Tav. 218;;Eec;0;1, 5, 9, 10, 18, 19;2011 (9, 10, 18, 19)
625;HOLOSAN;Holothuria sanctori;Delle Chiaje, 1823;;;;Eec;;5;2013 (5)
626;HOLOSPP;Holothuria spp.;Linnaeus, 1767 ;;;;Eec;;1, 2, 5, 6, 9, 17, 22, 23;2013 (1, 2, 5, 6)
627;HOLOTUB;Holothuria tubulosa;Gmelin, 1791;F;HOL Hol 1;;Eec;0;1, 5, 6, 9, 10, 11, 18 ;2011 (9, 10, 18)
628;HOMAVUL;Homarus gammarus;(Linnaeus, 1758);F;NEPH Hom 1;b10;B;m;6, 7, 11, 17, 18, 19, 22;
629;HOMOBAR;Homola barbata;(Fabricius, 1793);Z;304;;B;m;1, 2, 5, 6, 9, 15, 18, 19, 20, 22, 25;
630;HOPLMED;Hoplostethus mediterraneus mediterraneus;Cuvier, 1829;C;115.02.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
631;HORMALB;Hormathia alba;(Andrès, 1880);;;?;Ecn;;1;2014 (1)
632;HORMCOR;Hormathia coronata;(Gosse, 1858);;;;Ecn;;18;2013 (18)
633;HYALSPP;Hyalinoecia spp.;Malmgren, 1867 ;;;;Epo;;5;2013 (5)
634;HYALTUB;Hyalinoecia tubicola;(O.F. Müller, 1776) ;;;;Epo;;1, 2, 5, 6, 16;2013 (1, 2, 5, 6)
635;HYDOINA;Hydroidolina;Collins & Marques, 2004;;;;Ecn;;1;2014 (1)
636;HYDRZOA;Hydrozoa;Owen, 1843;;;;Ecn;;1, 2, 5, 6, 15;2013 (1, 2, 5, 6)
637;HYGOBEN;Hygophum benoiti;(Cocco, 1838);C;58.10.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20, 22;
638;HYGOHIG;Hygophum hygomii;(Lütken, 1892);C;58.10.01;;Ao;0;1, 5, 6, 8, 9, 10, 16, 18, 19, 22, 25;
639;HYGOSPP;Hygophum spp.;Bolin, 1939;C;58.1;;Ao;0;5, 6, 8, 10, 22;2011 (8, 10)
640;HYMEITA;Hymenocephalus italicus;Giglioli, 1884;C;99.05.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
641;HYMPDEB;Hymenopenaeus debilis;Smith, 1882 ;;;?;B;;1, 2;2013 (1, 2)
642;HYMPSPP;Hymenopenaeus spp.;Smith, 1882;Z;47;?;B;m;1;
643;HYPESPP;Hyperiidae;Dana, 1852;R;p. 492;;Bam;0;5, 6, 10;
644;HYPSSPP;Hypselodoris spp.;Stimpson, 1855;;;;Emo;0;5, 10;2011 (10)
645;ICHTOVA;Ichthyococcus ovatus;(Cocco, 1838);C;37.06.01;;Ao;0;1, 6, 9, 10, 19, 22, 25;
646;IDOTSPP;Idotea spp.;Fabricius, 1798;;;;Bis;;1;2013 (1)
647;ILIANUC;Ilia nucleus;(Linnaeus, 1758);Z;322;;B;m;6, 9, 11, 25;2011 (9)
648;ILLECOI;Illex coindetii;(Vérany, 1839);F;OMMAS Ill 1;;C;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 23, 25;
649;INACAGU;Inachus aguiarii;Brito Capello, 1876;;;?;B;;1, 2;2013 (1, 2)
650;INACCOM;Inachus communissimus;Rizza, 1839;Z;470;;B;m;1, 6, 9, 11, 15, 18, 19, 20, 22;
651;INACDOR;Inachus dorsettensis;(Pennant, 1777);Z;472;;B;m;1, 2, 5, 6, 7, 8, 9, 10, 17, 18, 19, 20, 22;
652;INACLEP;Inachus leptochirus;Leach, 1817;;;;B;;5, 6, 7, 8;2013 (7, 8)
653;INACPAR;Inachus parvirostris;(Risso, 1816);;;;B;m;5, 9, 11;2011 (9)
654;INACPHA;Inachus phalangium;(Fabricius, 1775);;;;B;m;7, 8;2013 (7, 8)
655;INACSPP;Inachus spp.;Weber, 1795;Z;467;;B;m;9, 15, 17, 18, 19, 20, 22, 25;2011 (9, 18, 19)
656;INACTHO;Inachus thoracicus;Roux, 1830;Z;473;;B;m;1, 5, 6, 9, 19, 20, 22;
657;IRCIORO;Ircinia oros;(Schmidt, 1864) ;;;;Esp;;5, 6;2014 (5, 6)
658;IRCISPP;Ircinia spp.;Nardo, 1833;R;p. 121;;Esp;0;5, 18;2011 (18)
659;ISIDELO;Isidella elongata;(Esper, 1788);R;p. 174 Tav. 63;;Ecn;0;1, 2, 7, 8, 9, 10, 18, 19;2011 (10, 18, 19)
660;ISOPODA;Isopoda;Latreille, 1817;;;;Bis;;1, 2, 5, 6;2013 (1, 2, 5, 6)
661;JANIRUB;Jania rubens;Lamouroux, 1816;;;;V;;1;2013 (1)
662;JANTPAL;Janthina pallida;Thompson, 1840;;;;Emg;;16;2013 (16)
663;JAXENOC;Jaxea nocturna;Nardo, 1847;Z;226;;B;m;22;
664;JORUTOM;Jorunna tomentosa;(Cuvier, 1804);R;p. 306 Tav. 117;;Emo;0;18;2011 (18)
665;KALLPAT;Kallymenia patens;Codomier, 1980;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
666;KALLSPP;Kallymenia spp.;J. Agardh, 1842;;;;V;;5;2013 (5)
667;KALMEAE;Kallymeniaceae;Kylin, 1928;;;;V;;5;2013 (5)
668;KALORAM;Kaloplocamus ramosus;(Cantraine, 1835);;;;Emo;;7, 8;2013 (7, 8)
669;LABIDIG;Oestergrenia digitata;(Montagu, 1815);R;p. 552 Tav. 219;e15;Eec;0;10;2011 (10)
670;LABODAE;Labridae;;;;;Ao;0;17;2014 (17)
671;LABRMER;Labrus merula ;Linnaeus, 1758;;;;Ao;0;11;2014 (11)
672;LABRVIR;Labrus viridis;Linnaeus, 1758;C;145.01.04;;Ao;0;7, 8, 11, 15, 22, 23;
673;LABSBIM;Labrus mixtus;Linnaeus, 1758;C;145.01.01;a30;Ao;0;5, 11, 16, 17, 22;
674;LAETHYS;Laetmonice hystrix;(Savigny, 1818);R;p. 365 Tav. 140;;Epo;0;1, 5, 6, 9, 18, 19;2011 (9, 18, 19)
675;LAETSPP;Laetmonice spp.;Kinberg, 1856;;;;Epo;;7, 8;2013 (7, 8)
676;LAEVCAR;Laevicardium oblongum;(Gmelin, 1791);F;CARD Laev 1;;Dmb;0;1, 5, 6, 17, 18, 19;
677;LAEVCRA;Laevicardium crassum;(Gmelin, 1791) ;;;;Dmb;;1, 5;2013 (1, 5)
678;LAEVSPP;Laevicardium spp.;Swainson, 1840;;;;Dmb;;1, 17;2013 (1)
679;LAGOLAG;Lagocephalus lagocephalus lagocephalus;(Linnaeus, 1758);C;204.02.01;;Ao;0;22;
680;LAGOSCE;Lagocephalus sceleratus;(Gmelin, 1789) ;;;? AL;Ao;0;25;2014 (25)
681;LAGOSUE;Lagocephalus suezensis;Clark & Gohar, 1953 ;G;206;? AL;Ao;0;25;2012 (25)
682;LAMACRO;Lampanyctus crocodilus;(Risso, 1810);C;58.12.01;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25;
683;LAMAPUS;Lampanyctus pusillus;(Johnson, 1890);C;58.12.10;;Ao;0;8, 9, 16, 18, 22;
684;LAMASPP;Lampanyctus spp.;Bonaparte, 1840;C;58.12;;Ao;0;1, 8, 9, 17, 22, 23;
685;LAMEPER;Lamellaria perspicua;(Linnaeus, 1758);;;;Emg;;6, 7, 16;2013 (6)
686;LAMESPP;Lamellaria spp.;Montagu, 1815 ;;;;Emg;;1;2013 (1)
687;LAMIROD;Laminaria rodriguezii;Bornet, 1888 ;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
688;LAMISPP;Laminaria spp.;Lamouroux, 1813 ;;;;V;;2, 6;2013 (2, 6)
689;LAMPGUT;Lampris guttatus;(Brünnich, 1788);C;105.01.01;;Ao;0;18;
690;LAPPFAS;Lappanella fasciata;(Cocco, 1833);C;145.07.01;;Ao;0;1, 6, 7, 8, 9, 11, 16, 18, 22;
691;LATRELE;Latreillia elegans;Roux, 1830;Z;307;;B;m;7, 8, 9, 10, 11, 15, 19, 20, 22, 25;2011 (9, 10, 19)
692;LATRSPP;Latreillia;Roux, 1830;Z;307;;B;m;9, 18, 22, 23;
693;LAURCHO;Laurencia chondrioides;Børgesen, 1918;;;;V;;1, 2, 5, 6;2013 (1, 2, 5, 6)
694;LEIOGLA;Leiopathes glaberrima;(Esper, 1788);;;;Ecn;;16;2013 (16)
695;LEPALEP;Lepadogaster lepadogaster;(Bonnaterre, 1788);C;208.04.01;;Ao;0;9, 15, 17;
