N.;MeditsCode;Scientific Name                                                 valid;Authorship ;Source;Reference;Remarks;CATFAU;CODLON;GSAs;Year
915;OPHANIG;Ophiocomina nigra;(Abildgaard, 1789);;;;Eec;;5, 7, 8, 16;2013 (7, 8, 16)
916;OPHCRUF;Ophichthus rufus;(Rafinesque, 1810);C;86.01.02;;Ao;0;1, 2, 5, 6, 7, 8, 9, 10, 11, 15, 18, 19, 20, 22;
917;OPHDOPH;Ophidiaster ophidianus;(Lamarck, 1816);R;p. 567 Tav. 224;;Eec;0;6, 18;2011 (18)
918;OPHEDAE;Ophiuridae;Müller & Troschel, 1840;;;;Eec;;15;2012 (15)
919;OPHISER;Ophisurus serpens;(Linnaeus, 1758);C;86.04.01;;Ao;0;1, 5, 6, 7, 8, 9, 10, 11, 16, 18, 19, 22, 23;
920;OPHNSET;Ophiacantha setosa;(Bruzelius, 1805);;;;Eec;;1, 5, 6 ;2013 (1, 5, 6)
921;OPHOFRA;Ophiothrix fragilis;(Abildgaard, 1789);R;p. 572 Tav. 226;;Eec;0;1, 2, 5, 6, 7, 8, 9, 10;
922;OPHOLUT;Ophiothrix luetkeni;Wyville Thomson, 1873;;;?;Eec;;6;2013 (6)
923;OPHOQUI;Ophiothrix quinquemaculata;(Delle Chiaje, 1828);;;;Eec;;18;2013 (18)
924;OPHOSPP;Ophiothrix spp.;Müller & Troschel, 1840;R;p. 571;;Eec;0;7, 8, 10, 18;2011 (10)
925;OPHRDEA;Ophiuroidea;Gray, 1840;;;;Eec;;1, 2, 5, 6, 9;2013 (1, 2, 5, 6)
926;OPHSANN;Ophiopsila annulosa;(M. Sars, 1859);;;;Eec;;16;2013 (16)
927;OPHSARA;Ophiopsila aranea;Forbes, 1843;;;;Eec;;16;2013 (16)
928;OPHSSPP;Ophiopsila spp.;Forbes, 1843;;;;Eec;;1, 2, 5, 6;2013 (1, 2, 5, 6)
929;OPHTBAL;Ophiactis balli;(Thompson, 1840) ;;;;Eec;;6;2013 (6)
930;OPHUALB;Ophiura albida;Forbes, 1839 ;;;;Eec;;19;2014 (19)
931;OPHUOPH;Ophiura ophiura;(Linnaeus, 1758);;;;Eec;0;5, 6, 7, 8, 9, 10, 18, 19;2011 (9, 10, 18, 19)
932;OPHUSPP;Ophiura spp.;Lamarck, 1801;;;;Eec;;5;2013 (5)
933;OPHYPEN;Ophiomyxa pentagona;(Lamarck, 1816);;;;Eec;;19;2014 (19)
934;OPISSPP;Opisthobranchia;Milne-Edwards, 1848;R;p. 269;;Emo;0;1, 2, 5, 6, 19;
935;OPLOSPP;Oplophoridae;Dana, 1852;Z;83;;B;m;7, 22;
936;OPTOAGA;Opisthoteuthis agassizii ;Verrill, 1883;;;c4;C;m;1, 6;
